STATION_NAME,CITY,STATE,LONGITUDE,LATITUDE,FACILITY_TYPE,FUEL_TYPE_CODE
Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 10,Los Angeles,CA,-118.220154,34.056631,FLEET_GARAGE,CNG
Clean Energy - Los Angeles International Airport,Los Angeles,CA,-118.377866,33.941383,AIRPORT,CNG
Los Angeles Convention Center,Los Angeles,CA,-118.271387,34.040539,PARKING_GARAGE,ELEC
Clean Energy - Los Angeles International Airport,Los Angeles,CA,-118.420055,33.941974,AIRPORT,LNG
Los Angeles International Airport (LAX) - Lot 6,Los Angeles,CA,-118.403342,33.94325,AIRPORT,ELEC
Northridge Fashion Center - Yard House,Northridge,CA,-118.556708,34.241116,SHOPPING_MALL,ELEC
Westfield Fashion Square,Sherman Oaks,CA,-118.434454,34.156839,SHOPPING_CENTER,ELEC
Van Nuys Amtrak/Metrolink Station,Van Nuys,CA,-118.448704,34.21108,PARKING_LOT,ELEC
Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 5,Los Angeles,CA,-118.317126,33.992627,FLEET_GARAGE,CNG
Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 3,Los Angeles,CA,-118.223768,34.088243,FLEET_GARAGE,CNG
Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 7,Los Angeles,CA,-118.382413,34.085569,FLEET_GARAGE,CNG
U-Haul,Los Angeles,CA,-118.308645,34.043302,RENTAL_CAR_RETURN,LPG
Avcogas,Los Angeles,CA,-118.265792,33.98873,FUEL_RESELLER,LPG
U-Haul,Los Angeles,CA,-118.15702,34.022744,RENTAL_CAR_RETURN,LPG
U-Haul,Los Angeles,CA,-118.291148,33.934865,RENTAL_CAR_RETURN,LPG
U-Haul,Los Angeles,CA,-118.309261,34.007712,RENTAL_CAR_RETURN,LPG
Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 1,Los Angeles,CA,-118.238553,34.038221,FLEET_GARAGE,CNG
United Parcel Service,Los Angeles,CA,-118.222392,34.064532,STANDALONE_STATION,CNG
Hotel Sofitel,Los Angeles,CA,-118.377527,34.076264,HOTEL,ELEC
Music Center Parking - Level 2,Los Angeles,CA,-118.24789,34.057657,PAY_GARAGE,ELEC
California State University - Northridge,Northridge,CA,-118.523887,34.248959,COLLEGE_CAMPUS,ELEC
California State University - Northridge,Northridge,CA,-118.528543,34.241687,COLLEGE_CAMPUS,ELEC
California State University - Northridge,Northridge,CA,-118.532588,34.236853,COLLEGE_CAMPUS,ELEC
Northridge Metrolink Station,Northridge,CA,-118.544827,34.229277,PARKING_LOT,ELEC
Getty Center,Los Angeles,CA,-118.474585,34.077588,PARKING_GARAGE,ELEC
Helms Bakery Building,Los Angeles,CA,-118.385231,34.029971,PARKING_GARAGE,ELEC
City of Los Angeles - West Valley,Northridge,CA,-118.549408,34.232569,MUNI_GOV,LNG
City of Los Angeles - South Los Angeles,Los Angeles,CA,-118.225351,34.032695,MUNI_GOV,CNG
City of Los Angeles - South Los Angeles,Los Angeles,CA,-118.225351,34.032695,MUNI_GOV,LNG
City of Los Angeles - West Valley,Northridge,CA,-118.549408,34.232569,MUNI_GOV,CNG
Los Angeles International Airport (LAX) - Lot 1,Los Angeles,CA,-118.399767,33.944761,AIRPORT,ELEC
Clean Energy - University of California Los Angeles,Los Angeles,CA,-118.447096,34.067097,COLLEGE_CAMPUS,CNG
Los Angeles Department of Water and Power - Downtown (Duco) Yard,Los Angeles,CA,-118.236702,34.051852,MUNI_GOV,CNG
Los Angeles Department of Water and Power - Saticoy Yard,Van Nuys,CA,-118.4480535,34.2084913,MUNI_GOV,CNG
ConservFuel,Los Angeles,CA,-118.465643,34.053925,STANDALONE_STATION,E85
City of Los Angeles - Central Los Angeles Recycling and Transfer Station,Los Angeles,CA,-118.234484,34.020214,MUNI_GOV,LPG
Los Angeles World Airport (LAX),Los Angeles,CA,-118.426241,33.941654,FLEET_GARAGE,LPG
Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 2,Los Angeles,CA,-118.253749,34.029763,FLEET_GARAGE,CNG
Los Angeles International Airport,Los Angeles,CA,-118.377866,33.941383,AIRPORT,HY
Clean Energy - La Cienega,Los Angeles,CA,-118.375858,34.059388,STANDALONE_STATION,CNG
City of Los Angeles - North Central,Los Angeles,CA,-118.224411,34.079374,MUNI_GOV,CNG
City of Los Angeles - North Central,Los Angeles,CA,-118.224411,34.079374,MUNI_GOV,LNG
Clean Energy - Veolia Transportation,Los Angeles,CA,-118.227717,34.068069,FLEET_GARAGE,CNG
Nissan of Downtown Los Angeles,Los Angeles,CA,-118.273229,34.035168,CAR_DEALER,ELEC
Universal City Nissan,Los Angeles,CA,-118.356601,34.133446,CAR_DEALER,ELEC
Nissan of Van Nuys,Sherman Oaks,CA,-118.449059,34.168824,CAR_DEALER,ELEC
Los Angeles County - Museum of Art,Los Angeles,CA,-118.35808,34.063383,MUSEUM,ELEC
Nissan of Van Nuys,Sherman Oaks,CA,-118.449059,34.168824,CAR_DEALER,ELEC
Universal City Nissan,Los Angeles,CA,-118.356601,34.133446,CAR_DEALER,ELEC
Nissan of Downtown Los Angeles,Los Angeles,CA,-118.273229,34.035168,CAR_DEALER,ELEC
"AAA - Auto Club of Southern California, Los Angeles Branch",Los Angeles,CA,-118.2778,34.02828,OFFICE_BLDG,ELEC
Marriott - Renaissance Los Angeles Airport Hotel,Los Angeles,CA,-118.385,33.9492,HOTEL,ELEC
Los Angeles Unified School District,Los Angeles,CA,-118.257312,34.031714,SCHOOL,LPG
Los Angeles Unified School District,Van Nuys,CA,-118.486698,34.220778,SCHOOL,LPG
Waste Management - Sun Valley Hauling,Los Angeles,CA,-118.380554,34.235534,FLEET_GARAGE,LNG
City of Los Angeles - West Los Angeles,Los Angeles,CA,-118.450718,34.035901,MUNI_GOV,CNG
